FarmingTech - 1,AlgaeHabitat
FarmingTech - 2,PlanterBox
FarmingTech - 3,RationBox
FarmingTech - 4,Compost
FineDining - 1,CookingStation
FineDining - 2,EggCracker
FineDining - 3,DiningTable
FineDining - 4,FarmTile
FoodRepurposing - 1,Juicer
FoodRepurposing - 2,SpiceGrinder
FoodRepurposing - 3,MilkPress
FinerDining - 1,GourmetCookingStation
FinerDining - 2,FoodDehydrator
FinerDining - 3,FoodRehydrator
Agriculture - 1,FarmStation
Agriculture - 2,FertilizerMaker
Agriculture - 3,Refrigerator
Agriculture - 4,HydroponicFarm
Agriculture - 5,ParkSign
Agriculture - 6,RadiationLight
Ranching - 1,RanchStation
Ranching - 2,CreatureDeliveryPoint
Ranching - 3,ShearingStation
Ranching - 4,CreatureFeeder
Ranching - 5,FishDeliveryPoint
Ranching - 6,FishFeeder
AnimalControl - 1,CreatureAirTrap
AnimalControl - 2,CreatureGroundTrap
AnimalControl - 3,WaterTrap
AnimalControl - 4,EggIncubator
AnimalControl - 5,LogicCritterCountSensor
AnimalComfort - 1,CritterCondo
AnimalComfort - 2,UnderwaterCritterCondo
DairyOperation - 1,MilkFeeder
DairyOperation - 2,MilkFatSeparator
DairyOperation - 3,MilkingStation
ImprovedOxygen - 1,Electrolyzer
ImprovedOxygen - 2,RustDeoxidizer
GasPiping - 1,GasConduit
GasPiping - 2,GasConduitBridge
GasPiping - 3,GasPump
GasPiping - 4,GasVent
ImprovedGasPiping - 1,InsulatedGasConduit
ImprovedGasPiping - 2,LogicPressureSensorGas
ImprovedGasPiping - 3,GasLogicValve
ImprovedGasPiping - 4,GasVentHighPressure
SpaceGas - 1,CO2Engine
SpaceGas - 2,ModularLaunchpadPortGas
SpaceGas - 3,ModularLaunchpadPortGasUnloader
SpaceGas - 4,GasCargoBaySmall
PressureManagement - 1,LiquidValve
PressureManagement - 2,GasValve
PressureManagement - 3,GasPermeableMembrane
PressureManagement - 4,ManualPressureDoor
DirectedAirStreams - 1,AirFilter
DirectedAirStreams - 2,CO2Scrubber
DirectedAirStreams - 3,PressureDoor
LiquidFiltering - 1,OreScrubber
LiquidFiltering - 2,Desalinator
MedicineI - 1,Apothecary
MedicineII - 1,DoctorStation
MedicineII - 2,HandSanitizer
MedicineIII - 1,GasConduitDiseaseSensor
MedicineIII - 2,LiquidConduitDiseaseSensor
MedicineIII - 3,LogicDiseaseSensor
MedicineIV - 1,AdvancedDoctorStation
MedicineIV - 2,AdvancedApothecary
MedicineIV - 3,HotTub
MedicineIV - 4,LogicRadiationSensor
LiquidPiping - 1,LiquidConduit
LiquidPiping - 2,LiquidConduitBridge
LiquidPiping - 3,LiquidPump
LiquidPiping - 4,LiquidVent
ImprovedLiquidPiping - 1,InsulatedLiquidConduit
ImprovedLiquidPiping - 2,LogicPressureSensorLiquid
ImprovedLiquidPiping - 3,LiquidLogicValve
ImprovedLiquidPiping - 4,LiquidConduitPreferentialFlow
ImprovedLiquidPiping - 5,LiquidConduitOverflow
ImprovedLiquidPiping - 6,LiquidReservoir
PrecisionPlumbing - 1,EspressoMachine
PrecisionPlumbing - 2,LiquidFuelTankCluster
SanitationSciences - 1,FlushToilet
SanitationSciences - 2,WashSink
SanitationSciences - 3,Shower
SanitationSciences - 4,MeshTile
FlowRedirection - 1,MechanicalSurfboard
FlowRedirection - 2,ModularLaunchpadPortLiquid
FlowRedirection - 3,ModularLaunchpadPortLiquidUnloader
FlowRedirection - 4,LiquidCargoBaySmall
LiquidDistribution - 1,RocketInteriorLiquidInput
LiquidDistribution - 2,RocketInteriorLiquidOutput
LiquidDistribution - 3,WallToilet
AdvancedSanitation - 1,DecontaminationShower
AdvancedFiltration - 1,GasFilter
AdvancedFiltration - 2,LiquidFilter
AdvancedFiltration - 3,SludgePress
Distillation - 1,AlgaeDistillery
Distillation - 2,EthanolDistillery
Distillation - 3,WaterPurifier
Catalytics - 1,OxyliteRefinery
Catalytics - 2,Chlorinator
Catalytics - 3,SupermaterialRefinery
Catalytics - 4,SodaFountain
Catalytics - 5,GasCargoBayCluster
PowerRegulation - 1,BatteryMedium
PowerRegulation - 2,Switch
PowerRegulation - 3,WireBridge
AdvancedPowerRegulation - 1,HighWattageWire
AdvancedPowerRegulation - 2,WireBridgeHighWattage
AdvancedPowerRegulation - 3,HydrogenGenerator
AdvancedPowerRegulation - 4,LogicPowerRelay
AdvancedPowerRegulation - 5,PowerTransformerSmall
AdvancedPowerRegulation - 6,LogicWattageSensor
PrettyGoodConductors - 1,WireRefined
PrettyGoodConductors - 2,WireRefinedBridge
PrettyGoodConductors - 3,WireRefinedHighWattage
PrettyGoodConductors - 4,WireRefinedBridgeHighWattage
PrettyGoodConductors - 5,PowerTransformer
RenewableEnergy - 1,SteamTurbine2
RenewableEnergy - 2,SolarPanel
RenewableEnergy - 3,Sauna
RenewableEnergy - 4,SteamEngineCluster
Combustion - 1,Generator
Combustion - 2,WoodGasGenerator
ImprovedCombustion - 1,MethaneGenerator
ImprovedCombustion - 2,OilRefinery
ImprovedCombustion - 3,PetroleumGenerator
InteriorDecor - 1,FlowerVase
InteriorDecor - 2,FloorLamp
InteriorDecor - 3,CeilingLight
Artistry - 1,FlowerVaseWall
Artistry - 2,FlowerVaseHanging
Artistry - 3,CornerMoulding
Artistry - 4,CrownMoulding
Artistry - 5,ItemPedestal
Artistry - 6,SmallSculpture
Artistry - 7,IceSculpture
Clothing - 1,ClothingFabricator
Clothing - 2,CarpetTile
Clothing - 3,ExteriorWall
Acoustics - 1,BatterySmart
Acoustics - 2,Phonobox
Acoustics - 3,PowerControlStation
SpacePower - 1,BatteryModule
SpacePower - 2,SolarPanelModule
SpacePower - 3,RocketInteriorPowerPlug
NuclearRefinement - 1,NuclearReactor
NuclearRefinement - 2,UraniumCentrifuge
NuclearRefinement - 3,HEPBridgeTile
FineArt - 1,Canvas
FineArt - 2,Sculpture
EnvironmentalAppreciation - 1,BeachChair
Luxury - 1,LuxuryBed
Luxury - 2,LadderFast
Luxury - 3,PlasticTile
Luxury - 4,ClothingAlterationStation
RefractiveDecor - 1,CanvasWide
RefractiveDecor - 2,MetalSculpture
GlassFurnishings - 1,GlassTile
GlassFurnishings - 2,FlowerVaseHangingFancy
GlassFurnishings - 3,SunLamp
Screens - 1,PixelPack
RenaissanceArt - 1,CanvasTall
RenaissanceArt - 2,MarbleSculpture
Plastics - 1,Polymerizer
Plastics - 2,OilWellCap
ValveMiniaturization - 1,LiquidMiniPump
ValveMiniaturization - 2,GasMiniPump
HydrocarbonPropulsion - 1,KeroseneEngineClusterSmall
HydrocarbonPropulsion - 2,MissionControlCluster
BetterHydroCarbonPropulsion - 1,KeroseneEngineCluster
CryoFuelPropulsion - 1,HydrogenEngineCluster
CryoFuelPropulsion - 2,OxidizerTankLiquidCluster
Suits - 1,SuitsOverlay
Suits - 2,AtmoSuit
Suits - 3,SuitFabricator
Suits - 4,SuitMarker
Suits - 5,SuitLocker
Jobs - 1,WaterCooler
Jobs - 2,CraftingTable
AdvancedResearch - 1,BetaResearchPoint
AdvancedResearch - 2,AdvancedResearchCenter
AdvancedResearch - 3,ResetSkillsStation
AdvancedResearch - 4,ClusterTelescope
AdvancedResearch - 5,ExobaseHeadquarters
SpaceProgram - 1,LaunchPad
SpaceProgram - 2,HabitatModuleSmall
SpaceProgram - 3,OrbitalCargoModule
SpaceProgram - 4,RocketControlStation
CrashPlan - 1,OrbitalResearchPoint
CrashPlan - 2,PioneerModule
CrashPlan - 3,OrbitalResearchCenter
CrashPlan - 4,DLC1CosmicResearchCenter
DurableLifeSupport - 1,NoseconeBasic
DurableLifeSupport - 2,HabitatModuleMedium
DurableLifeSupport - 3,ArtifactAnalysisStation
DurableLifeSupport - 4,ArtifactCargoBay
DurableLifeSupport - 5,SpecialCargoBayCluster
NuclearResearch - 1,DeltaResearchPoint
NuclearResearch - 2,NuclearResearchCenter
NuclearResearch - 3,ManualHighEnergyParticleSpawner
AdvancedNuclearResearch - 1,HighEnergyParticleSpawner
AdvancedNuclearResearch - 2,HighEnergyParticleRedirector
NuclearStorage - 1,HEPBattery
NuclearPropulsion - 1,HEPEngine
NotificationSystems - 1,LogicHammer
NotificationSystems - 2,LogicAlarm
NotificationSystems - 3,Telephone
ArtificialFriends - 1,SweepBotStation
ArtificialFriends - 2,ScoutModule
BasicRefinement - 1,RockCrusher
BasicRefinement - 2,Kiln
RefinedObjects - 1,FirePole
RefinedObjects - 2,ThermalBlock
RefinedObjects - 3,LadderBed
RefinedObjects - 4,ModularLaunchpadPortBridge
Smelting - 1,MetalRefinery
Smelting - 2,MetalTile
HighTempForging - 1,GlassForge
HighTempForging - 2,BunkerTile
HighTempForging - 3,BunkerDoor
HighTempForging - 4,GeoTuner
HighTempForging - 5,Gantry
HighPressureForging - 1,DiamondPress
RadiationProtection - 1,LeadSuit
RadiationProtection - 2,LeadSuitMarker
RadiationProtection - 3,LeadSuitLocker
RadiationProtection - 4,LogicHEPSensor
TemperatureModulation - 1,LiquidCooledFan
TemperatureModulation - 2,IceCooledFan
TemperatureModulation - 3,IceMachine
TemperatureModulation - 4,InsulationTile
TemperatureModulation - 5,SpaceHeater
HVAC - 1,AirConditioner
HVAC - 2,LogicTemperatureSensor
HVAC - 3,GasConduitTemperatureSensor
HVAC - 4,GasConduitElementSensor
HVAC - 5,GasConduitRadiant
HVAC - 6,GasReservoir
HVAC - 7,GasLimitValve
LiquidTemperature - 1,LiquidConduitRadiant
LiquidTemperature - 2,LiquidConditioner
LiquidTemperature - 3,LiquidConduitTemperatureSensor
LiquidTemperature - 4,LiquidConduitElementSensor
LiquidTemperature - 5,LiquidHeater
LiquidTemperature - 6,LiquidLimitValve
LiquidTemperature - 7,ContactConductivePipeBridge
LogicControl - 1,AutomationOverlay
LogicControl - 2,LogicSwitch
LogicControl - 3,LogicWire
LogicControl - 4,LogicWireBridge
LogicControl - 5,LogicDuplicantSensor
GenericSensors - 1,FloorSwitch
GenericSensors - 2,LogicElementSensorGas
GenericSensors - 3,LogicElementSensorLiquid
GenericSensors - 4,LogicGateNOT
GenericSensors - 5,LogicTimeOfDaySensor
GenericSensors - 6,LogicTimerSensor
GenericSensors - 7,LogicLightSensor
GenericSensors - 8,LogicClusterLocationSensor
LogicCircuits - 1,LogicGateAND
LogicCircuits - 2,LogicGateOR
LogicCircuits - 3,LogicGateBUFFER
LogicCircuits - 4,LogicGateFILTER
ParallelAutomation - 1,LogicRibbon
ParallelAutomation - 2,LogicRibbonBridge
ParallelAutomation - 3,LogicRibbonWriter
ParallelAutomation - 4,LogicRibbonReader
DupeTrafficControl - 1,LogicCounter
DupeTrafficControl - 2,LogicMemory
DupeTrafficControl - 3,LogicGateXOR
DupeTrafficControl - 4,ArcadeMachine
DupeTrafficControl - 5,Checkpoint
DupeTrafficControl - 6,CosmicResearchCenter
Multiplexing - 1,LogicGateMultiplexer
Multiplexing - 2,LogicGateDemultiplexer
TravelTubes - 1,TravelTubeEntrance
TravelTubes - 2,TravelTube
TravelTubes - 3,TravelTubeWallBridge
TravelTubes - 4,VerticalWindTunnel
SmartStorage - 1,ConveyorOverlay
SmartStorage - 2,SolidTransferArm
SmartStorage - 3,StorageLockerSmart
SmartStorage - 4,ObjectDispenser
SolidManagement - 1,SolidFilter
SolidManagement - 2,SolidConduitTemperatureSensor
SolidManagement - 3,SolidConduitElementSensor
SolidManagement - 4,SolidConduitDiseaseSensor
SolidManagement - 5,StorageTile
SolidManagement - 6,CargoBayCluster
HighVelocityTransport - 1,RailGun
HighVelocityTransport - 2,LandingBeacon
SolidTransport - 1,SolidConduitInbox
SolidTransport - 2,SolidConduit
SolidTransport - 3,SolidConduitBridge
SolidTransport - 4,SolidVent
Monuments - 1,MonumentBottom
Monuments - 2,MonumentMiddle
Monuments - 3,MonumentTop
SolidSpace - 1,SolidLogicValve
SolidSpace - 2,SolidConduitOutbox
SolidSpace - 3,SolidLimitValve
SolidSpace - 4,SolidCargoBaySmall
SolidSpace - 5,RocketInteriorSolidInput
SolidSpace - 6,RocketInteriorSolidOutput
SolidSpace - 7,ModularLaunchpadPortSolid
SolidSpace - 8,ModularLaunchpadPortSolidUnloader
RoboticTools - 1,AutoMiner
RoboticTools - 2,RailGunPayloadOpener
PortableGasses - 1,GasBottler
PortableGasses - 2,BottleEmptierGas
PortableGasses - 3,OxygenMask
PortableGasses - 4,OxygenMaskLocker
PortableGasses - 5,OxygenMaskMarker
Bioengineering - 1,GeneticAnalysisStation
SpaceCombustion - 1,SugarEngine
SpaceCombustion - 2,SmallOxidizerTank
HighVelocityDestruction - 1,NoseconeHarvest
GasDistribution - 1,RocketInteriorGasInput
GasDistribution - 2,RocketInteriorGasOutput
GasDistribution - 3,OxidizerTankCluster
AdvancedScanners - 1,ScannerModule
AdvancedScanners - 2,LogicInterasteroidSender
AdvancedScanners - 3,LogicInterasteroidReceiver
